City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
111,tadmur,34.5608,38.2805,298.4,36,92,3.07,SY,1696439082
112,felege neway,6.3,36.8833,291.76,89,54,2.27,ET,1696439082
113,muroto-misakicho,33.2833,134.15,296.8,79,62,4.2,JP,1696439082
114,georgetown,5.4112,100.3354,300.12,86,20,1.03,MY,1696438889
115,karaton,-6.3424,106.1045,296.64,88,15,0.36,ID,1696439083
116,osorno,-40.5667,-73.15,284.32,76,40,1.03,CL,1696439083
117,sola,-13.8833,167.55,298.79,77,89,11.38,VU,1696439083
118,tougan,13.0667,-3.0667,308.37,33,78,5.41,BF,1696439083
119,hamilton,39.1834,-84.5333,303.27,48,47,2.24,US,1696438857
120,keelung,25.1283,121.7419,300.96,95,100,8.93,TW,1696439084
121,rongelap,11.1635,166.8941,301.9,78,96,6.78,MH,1696439084
122,zabkowice slaskie,50.5897,16.8124,286.79,86,61,2.09,PL,1696439084
123,kingston,17.997,-76.7936,305.68,71,20,2.06,JM,1696438994
124,chela,34.069,104.4619,280.83,94,100,1.48,CN,1696439084
125,nemuro,43.3236,145.575,288.42,83,77,3.59,JP,1696439084
126,los andes,-32.8337,-70.5983,291.49,35,0,2.27,CL,1696438812
127,dvurechensk,56.5982,61.0953,283.53,75,88,3.13,RU,1696439084
128,basoko,1.2391,23.616,297.54,86,38,3.79,CD,1696439084
129,arteche,12.2645,125.4048,298.4,90,87,1.69,PH,1696439085
130,qa'en,33.7265,59.1844,295.25,32,4,1.7,IR,1696439085
131,jingdezhen,29.2947,117.2079,294.21,83,100,2.42,CN,1696439085
132,moyynkum,44.2914,72.9469,288.28,50,32,5.46,KZ,1696439085
133,nicoya,10.1483,-85.452,301.03,80,94,1.75,CR,1696439085
134,avarua,-21.2078,-159.775,296.18,83,75,7.72,CK,1696438841
135,mandapam,9.2833,79.1167,300.63,87,23,12.84,IN,1696439086
